B1;ADR2;WRR4;ADR2-WRR4;B1_ADR2-WRR4	AT1G56510,AT1G56520,AT1G56540,AT1G66090
B3	AT1G61180,AT1G61190,AT1G61300,AT1G61310,AT1G62630,AT1G63350,AT1G63360
B4;RLM1;B4_RLM1	AT1G63730,AT1G63740,AT1G63750,AT1G63860,AT1G63870,AT1G63880,AT1G64070
B5	AT1G72840,AT1G72850,AT1G72860,AT1G72870,AT1G72890,AT1G72900,AT1G72910,AT1G72920,AT1G72930,AT1G72940,AT1G72950
DM1;SSI4;DM1_SSI4	AT5G40910,AT5G41540,AT5G41550,AT5G41740,AT5G41750
HR;RPW8;HR-RPW8	AT3G50450,AT3G50460,AT3G50470,AT3G50480
DM2;RPP1;DM2_RPP1	AT3G44400,AT3G44480,AT3G44630,AT3G44670
RPP2	AT4G19500,AT4G19510,AT4G19520,AT4G19530
DM8;RPP4-5;RPP4;RPP5;DM8_RPP4-5	AT4G16860,AT4G16890,AT4G16900,AT4G16920,AT4G16940,AT4G16950,AT4G16960,AT4G16990
DM6;RPP7;DM6_RPP7	AT1G58390,AT1G58400,AT1G58410,AT1G58602,AT1G58807,AT1G58848,AT1G59124,AT1G59218
DM4;RPP8;DM4_RPP8	AT5G35450,AT5G43470,AT5G48620
RPP13	AT3G46530,AT3G46710,AT3G46730
RPS4;TTR1;RPS4_TTR1	AT5G45050,AT5G45060,AT5G45200,AT5G45210,AT5G45220,AT5G45230,AT5G45240,AT5G45250
RPS6	AT5G46260,AT5G46270,AT5G46450,AT5G46470,AT5G46490,AT5G46510,AT5G46520

